H-ID,type_id,source_language 965,language 1090,author_or_creator 15 H-ID,author 1091,title 1092,date 9,century 1093,date_freetext 1094,geste 1097 H-ID,geste_freetext 1098,scripta 1099,scripta_freetext 1100,status_trad 1101,status_trad_freetext 1102,lost_older_version_choice 1103,lost_older_version_identification 1104 H-ID,ancient_translations_freetext 1105,ancient_translations_total 1106,rewritings_freetext 1107,rewritings_total 1108,note 1109,jonas_id 1110,arlima_id 1111,deaf_reference 1112,moisan_reference 1113,moisan_cycle 1114,bossuat_reference 1115,stemma 1117 H-ID,suard_reference 1118,genre 1129,subgenre 1130,form 1163,verse_type 1165,length 1166,rhyme_type 1167,arlima_link 1181
777,101,,,,,Aimeri de Narbonne perdu,1100-01-01 00:00:00|1187-01-01 00:00:00,,"XII?, av. 1187",97,Aimeri de Narbonne,,,lost,,,,,,,,"Modèle perdu de Bertrand de Bar-sur-Aube, hypothèse soutenue par mention chez Guilhem de Berguedan, cf. M. de Riquer, les chansons de geste françaises, 2e ed, 1968, p. 165.",,,,,,I p. 34,,,,,,,,,
623,101,,,,,Aiol,1175-01-01 00:00:00|1225-01-01 00:00:00,,XII3/4 et XIII1/4 [Arlima],138,Aiol,,,surviving,,maybe,,"néerlandaises (2), italiennes (2), espagnol",,,,"L'existence d'un texte antérieur partiellement perdu, dont le texte actuel conserverait la 1re partie, a pu être supposés par les éditeurs du texte, mais mise en doute par M. Delbouille, cf. Moisan sIII. Vers. néerl.: F INET , Baukje : La tradition écrite de la chanson d’«Aiol», une mise au point, dans Rom., 124 (3-4), 2006, pp. 503-508.",,,,A,Saint-Gilles,,,,,,,,,,https://arlima.net/no/679
588,101,,,,,Ami et Amile,1200-01-01 00:00:00|1300-01-01 00:00:00,,"XIII, ou c. 1200",62,Ami et Amile,,,surviving,,,,,,,,Version continentale en décasyllabes,,,,Am1,Blaives,I p. 56; sIII p. 130,,,,,,,,,https://arlima.net/no/382
589,101,,,,,Ami et Amile,1300-01-01 00:00:00|1500-01-01 00:00:00,,XIV-XV,62,Ami et Amile,,,surviving,,,,,,,,"Remaniement inédit en 13000 alexandrins avec vers hexasyllabique en fin de laisse. 4 mss, cf. Suard, p. 294. || Pas vu de stemma chez Neufang.",,,,,,,,,,,,,,,https://arlima.net/no/382
778,101,,,,,Ami et Amile perdu,1001-01-01 00:00:00|1114-01-01 00:00:00,,"XI-XIIdeb, av. 1114",62,Ami et Amile,,,lost,,,,,,,,"Source possible de l'épître latine de Raoul le Tourtier, mort en 1114, et de la version conservée (cf DLF, 1964, p. 53), ainsi que d'autres dérivés (cf. Moisan sIII).",,,,,,I p. 34,,,,,,,,,
587,101,,fro_ENG,,,Amis et Amiloun,1200-01-01 00:00:00|1220-01-01 00:00:00,,XIII inc,62,Ami et Amile,,,surviving,,,,Traduit dans le moyen anglais Amis and Amiloun,,,,"quoique pas vraiment une chanson de geste|| Kölbing a le stemma de la version anglaise, p. 12, https://books.google.fr/books?id=hUoJAAAAQAAJ&hl=fr&pg=PR12, et de la version anglo-normande p. LXXIII. OS: Koelbing_1884_AmisAmiloun",,,,Am11,Blaives,,,,,,,,,,https://arlima.net/no/382
713,101,,,,,Anseïs de Carthage,1200-01-01 00:00:00|1250-01-01 00:00:00,,"XIII1/4, 1230-1250",164,Anseïs de Carthage,,,surviving,,maybe,,,,mise en prose,,"Stemma in Kerr_1994_AnseisCarthage

Bossuat sIII no 1031: fragms Anseïs de Carth. et G. de Bourg. Mise en prose notamment dans   Charlemagne et Anseïs (= La cronique associee de Charlemaine et Anseïs ?). Stemmata dans: 
Johann Alton, Anseis von Karthago, Tübingen, gedruckt für den litterarischen verein in Stuttgart (Bibliothek des
litterarischen vereins in Stuttgart, n°194), 1892; ainsi que Alexander Ferguson Kerr, A critical edition of Anseïs de Cartage, Thèse de l’Université de Reading, sous la direction de Wolfgang van Emden, 1994.
Présence à vérifier dans: 
Mori, Roberta, Anseïs de Carthage (canzone di gesta del 13. secolo): edizione critica con saggio introduttivo, note al testo e glossario, thèse de doctorat, Università di Bologna, 1998.

Ceresato, Floriana, L'Anseïs de Carthage nel Ms. Paris, BnF, Français 1598. Uno studio critico, thèse de doctorat, Università degli studi Roma Tre, 2017.",,,,AC,Charlemagne,,,,,,,,,,https://arlima.net/no/736
545,101,,,,,Anseïs de Carthage perdu,,,,164,Anseïs de Carthage,,,lost_low-cert,,,,,,,,"Existence d'un modèle plus ancien de la chanson conservée est supposé par G. Paris et M. de Riquer, dont témoigneraient aussi des restes d'assonnance, une phrase du prologue et des débris dans le roman en prose  (cf. Moisan sIII).",,,,,,I p. 41; sIII p. 114,,,,,,,,,
592,101,,,,,Anseïs de Metz / Anseïs de Gascogne,1121-01-01 00:00:00|1250-01-01 00:00:00,,"XIIfin ou c. 1250, c. 1121-1177 [Arlima] 1er tiers 13e [DEAF]",78,Anseïs de Metz,,flandr.,surviving,,,,,,,,(Texte d'attache plutôt pro-flamande),,,AnsMetz,AM,Lorrains,,873,,,,,,,,https://arlima.net/no/737
774,101,,pro,,,Antiocha perdu,,,,184,Antioche,,,fragm,fragm? perdu?,,,,,,,"Selon P. Meyer, indépendamment du texte de Grégoire Bechada, ""il a existé un ou deux poèmes provençaux relatifs à la 1re croisade"". Deux vers d'un ancien poème se rapportant au siège d'Antioche signalés par Mila Y Fontanals, cf. Moisan sIII.",,,,,,I p. 34,,,,,,,,,
593,101,,fro,,,Antioche,1300-01-01 00:00:00|1400-01-01 00:00:00,,XIV,184,Antioche,,,surviving,,,,,,,,«Version du XIVe siècle» sur Arlima,,,,,,I p. 57,,,,,,,,,https://arlima.net/no/255
715,101,,,,,"Aquin (Aiquin, Acquin)",1101-01-01 00:00:00|1300-01-01 00:00:00,,XII-XIII,171,Aquin,,,surviving,,maybe,,,,,,"Citations de Claude Fauchet, cf. Moisan sIV Fau.",,,,Aq,Charlemagne,sIII p. 102,,,,,,,,,https://arlima.net/no/680
547,101,,,,,Arles,,,,230,Arles,,,lost_low-cert,,,,,,,,"Tradition épique concernant Arles rapportée dans le Roman d'Arles, qui permet de supposer l'existence d'une chanson de geste (fr?) sur ce sujet, dont on a aussi des indications dans la Kaiserchronik, qui pourrait se fonder sur des textes antérieur. Ou une partie d'une chanson de Guillaume d'Orange perdue insérée dans la 3e partie du Roman d'Arles? Cf. Moisan sIII. Redondant avec Tersin? À vérifier.",,,,,,I p. 40; sII p. 24; sIII p. 113,,,,,,,,,
780,101,,,,,"Arnaïs d'Orléans, roi de Hongrie",1100-01-01 00:00:00|1130-01-01 00:00:00,,"XII?, av. 1130",192,Arnaïs d'Orléans,,,lost,,,,,,,,"Louis Gemenne, « Sansonnet : avis de recherche d'un orphelin épique », L'épopée romane 1, t.~2, p.~665-676. Résumé de cette chanson subsiste dans la Chronique Française (Moisan, ChF textes annexes), transcrit par Gaston Paris, Hist poet 403. Utilisée par les auteurs du Couronnement Louis, de la Chronique Saintongeaise, par Aubri de Trois Fontaines, et parmi les sources du Loher und Maller allemand. Cf. Moisan sIII. Existait encore fin XVe, car, dans un Inventaire des bijoux, vêtements, manuscrits et objets précieux appartenant à la comtesse de Montpensier (1443-1474) éd. M. de Boislile, un ""Le libre Arnaïs d'Orléans"" cf. R 10 447, Bull. Soc. Hist. fr. 17 1880 269-309. (rapporté aussi dans M. J. Devaux, Essai sur les premiers seigneurs de Pithiviers (suite et fin), , Annales Soc. hist. et archéol. du Gâtinais, 4, 1886).",,,,,,,,,,,,,,,https://arlima.net/no/6489
595,101,,fro_IT,,,Aspramonte,1200-01-01 00:00:00|1400-01-01 00:00:00,,XIII-XIV,95,Aspremont,,,surviving,,,,,,,,Version remaniée fr-it de la précédende,,,,As8-11 etr,Charlemagne,,,,,,,,,,https://arlima.net/no/761
596,101,,,,,Aspremont,1188-01-01 00:00:00,,"XII, c. 1188",95,Aspremont,,,surviving,,,,"italienne,…",,,,Versions franco-italiennes,,,,As,"Charlemagne,Garin de Monglane",,894,,,,,,,,https://arlima.net/no/762
597,101,,,,,Auberi le Bourgoing,1100-01-01 00:00:00|1250-01-01 00:00:00,,"XIII, c. 1250; XII selon Arlima",214,Auberi le Bourgoing,,Est,surviving,,,,,,"3 rédactions différentes, cf. Suard",,"Citations de Claude Fauchet de 3 v., cf. Moisan sIV Fau.",,,,AB,bourguignonne,,,,,,,,,,https://arlima.net/no/769
598,101,,,,,Auberon,1230-01-01 00:00:00|1311-01-01 00:00:00,,"XIII2/3, 1260-1311",220,Auberon,,,surviving,,,,,,,,roman ou chanson? Prologue de Huon de Bordeaux. À voir avec Huon roi de fayerie??,,,,Aub,Huon de Bord.,,,,,,,,,,https://arlima.net/no/770
513,101,,,,,Audigier,1180-01-01 00:00:00|1220-01-01 00:00:00,,XIIex – XIIIdeb,231,Audigier,,,surviving,,yes,,,,,,Parodie truculente de chanson de geste.,,,,,,I p. 21; sIII p. 99,,,,,,,,,https://arlima.net/no/28
781,101,,,,,Audigier perdu,1101-01-01 00:00:00|1200-01-01 00:00:00,,XII,231,Audigier,,,lost,,,,,,,,"Témoignages d'une version antérieure à celle conservée, cf. P. Meyer, R 7 1878 450; O. Jodogne, Le Moyen Âge 66 1960 502 506 (témoignage d'Aiol). Cf. Moisan sIII.",,,,,,,,,,,,,,,
782,101,,,,,Balan,1100-01-01 00:00:00|1170-01-01 00:00:00,,"XII?, avant 1170",156,Balan,,,lost,,,,,,,,"modèle de Fierabras, ou texte dont Fierabras est la continuation. Attesté par le résumé de Philippe Mouskés, chron. rimée (c. 1260), la longue préf. de Fierabras et la Destr. de Rome. Cf. Moisan sIII.",,,,,,I p. 41,,,,,,,,,
783,101,,,,,Basin,1100-01-01 00:00:00|1230-01-01 00:00:00,,XII? avant 1230,225,Basin,,,lost,,,,Karel ende Elegast néerlandais; Karlamagnus saga,,,,"Correspond-elle au « Unus liber romanizatus de Duce de Basyns. [chanson de Basin ?] » de l'inventaire des livres d'Isabelle de France, reine d'Angleterre ? Sur cette chanson, voir Bédier, Joseph, « La légende des ""enfances"" de Charlemagne et l'histoire de Charles Martel », Studies in Honor of A. Marshall Elliott, in Two Volumes, Baltimore, Johns Hopkins Press; Paris, Champion; Leipzig, Harrassowitz, 1911, t. 1, p. 81-107. [IA: t. 1, t. 2] Bonnier, Charles, « Un nouveau témoignage sur la chanson de Basin », Romania, 29, 1900, p. 425-426. [GB: ex. 1, ex. 2] [Gall] [IA] Rombauts, E., « Le Karel ende Elegast néerlandais et la Chanson de Basin », Études germaniques, 31, 1976, p. 369-491. Ainsi que Romania 21, p. 296. Cf. aussi Moisan sIII, avec d'autres réfs. La version néerlandaise pourrait être l'original ! (https://en.wikipedia.org/wiki/Elegast )",,,,r CE étr.,,,,,,,,,,,https://arlima.net/no/4931
720,101,,,,,Bâtard de Bouillon,1350-01-01 00:00:00,,"XIV, c. 1350",195,Bâtard de Bouillon,,,surviving,,maybe,,,,,,,,,,BB,Croisade,,,,,,,,,,https://arlima.net/no/803
755,101,,,,,Baudouin de Flandres,,,,196,Baudouin de Flandres,,,fragm,,,,,,,,"Texte inconnu à l'époque de publication A. Bayot, Fragments de manuscrits trouvés aux archives du royaume, Revue des bibliothèques et archives de Belgique, 4 [1906?], peut-être à identifier avec une autre entrée de cette liste, signalé aussi dans le CR de, comme une suite de Baudouin de Sebourc et du Bâtard de Bouillon;  PM,  Fragments de manuscrits trouvés aux Archives du Royaume, par A. Bayot, 1906 (Extraits du t. IV de la Revue des Bibliothèques et Archives de Belgique ; non mis dans le commerce). In: Romania, tome 36 n°141, 1907. pp. 121-122. www.persee.fr/doc/roma_0035-8029_1907_num_36_141_4952_t1_0121_0000_2",,,,,,sIII p. 185,,,,,,,,,
599,101,,,,,Baudouin de Sebourc,1314-01-01 00:00:00|1350-01-01 00:00:00,,"XIV, 1314-1350",197,Baudouin de Sebourc,,Valenciennes,surviving,,,,,,,,"2 auteurs, cf. Moisan. En outre, l'histoire du 'Batard de Sebourc' et de ses conquêtes en Égypte semble perdue, mais est connue par des allusions. cf. Moisan sIII. En outre, le Baudouin de Sebourc conservé pourraît bien être une réfection d'un poème perdu.",,,,BS,Croisade,I p. 57; sII p. 27; sIII p. 130,,,,,,,,,https://arlima.net/no/151
716,101,,,,,Belle Hélène de Constantinople,1200-01-01 00:00:00|1400-01-01 00:00:00,,XIII-XIV,232,Belle Hélène de Constantinople,,,surviving,,maybe,,,,2 mises en prose; 1 anonyme; 1 de Jean Wauquelin,,Moisan: élaboration sur une version antérieure plus courte? Voir aussi sIIII.,,,,BeH,indép.,I p. 28; sIII p. 102,,,,,,,,,https://arlima.net/no/813
600,101,,fro_IT,,,Berta da li pe grandi [Geste Francor],1300-01-01 00:00:00|1350-01-01 00:00:00,,XIV1/2,174,Berte au grand pied,,,surviving,,,,,,,,,,,,BGP2 etr.,Charlemagne,I p. 57,,,,,,,,,https://arlima.net/no/170
638,101,,fro_IT,,,Berta e Milone [Geste Francor],1300-01-01 00:00:00|1350-01-01 00:00:00,,XIV1/2,939,Enfances Roland,,,surviving,,,,,,,,,,,,BM1 etr,Charlemagne,I p. 66; sII p. 28,,,,,,,,,https://arlima.net/no/171
784,101,,,,,Berte,1100-01-01 00:00:00|1225-01-01 00:00:00,,XII? avant 1225,174,Berte au grand pied,,,lost,,,,,,,,"modèle d'Adenet, connu par l'auteur de la Chronique saintongeaise et Philippe Mouskés; utilisé par l'auteur de la Gran Conquista de Ultramar et le rédacteur franco-italien. Voir E. Faral, R, 40 1911 93-96. Le contenu des textes allemands, de l'Aquilon de Bavière, etc., laissent supposer plusieurs versions intermédiaires perdues. Moisan sIII",,,,,,I p. 86; sII p. 34; sIII p. 184,,,,,,,,,
671,101,,,,Bertolais de Laon?,Jehan de Lanson,1100-01-01 00:00:00|1234-01-01 00:00:00,,"XII1/2 ou XIII?, 1212-1234",172,Jehan de Lanson,,fr?,surviving,,,,,,,,"NB: possible autre version perdue, reprise par Jean d'Outremeuse dans la geste de Liège, cf. Suard p. 305.",,,,JL,Charlemagne,,,,,,,,,,https://arlima.net/no/1468
764,101,,,,Bertrand de Bar-sur-Aube ?,Aimeri de Narbonne,1205-01-01 00:00:00|1225-01-01 00:00:00,,"XIII, 1205-1225",97,Aimeri de Narbonne,,,surviving,,yes,,,,Aimeri de Narbonne en prose,,[attr. fautive selon Arlima],,,,AN,Garin de Monglane,I p. 20; sIII p. 98,864,,,,,,,,https://arlima.net/no/677
736,101,,,,Bertrand de Bar-sur-Aube,Girart de Vienne,1180-01-01 00:00:00|1220-01-01 00:00:00,,XIIfin-XIIIdeb ou c. 1180?,99,Girart de Vienne,,champ.,surviving,,maybe,,néerlandaise,,Mise en prose du XVe,,"Et remaniement en vers au XIVe. Bertrand de Bar-sur-Aube aurait remanié une chanson antérieure. Ms. Chelthenham?? Vers. néerl: S PIJKER , Irene : « Gheraert van Viane », dans Olifant, 23 (1), 2004, pp. 63-78.",,,,GV,Garin de Monglane,,849,,,,,,,,https://arlima.net/no/261
723,101,,,,Brienchon,Ciperis de Vignevaux,1350-01-01 00:00:00|1410-01-01 00:00:00,,"XIV2/2, c. 1350 ou 1396-1410",207,Ciperis de Vignevaux,,"pic., Arras",surviving,,maybe,,,,Mise en prose av. 1469.,,"Existe deux versions en alexandrins. Citations de Claude Fauchet de 30 v. + 360 v., à partir de deux exemplaires, cf. Moisan sIV Fau. Apparently no stemma in Kaphengst.",,,,CiV,Dagobert,,,,,,,,,,https://arlima.net/no/933
604,101,,,,,Brun de la Montagne,1300-01-01 00:00:00|1400-01-01 00:00:00,,XIV,234,Brun de la Montagne,,,surviving,,,,,,,,,,,,,,,,,,,,,,,https://arlima.net/no/263
717,101,,,,,Bueve d'Aigremont,1200-01-01 00:00:00|1300-01-01 00:00:00,,XIII,132,Bueve d'Aigremont,,,surviving,,maybe,,,,,,,,,,BA,"Doon de Maience,Charlemagne",,,,,,,,,,https://arlima.net/no/5043
548,101,,,,,Bueve d'Aigremont perdu,1150-01-01 00:00:00|1175-01-01 00:00:00,,XII3/4?,132,Bueve d'Aigremont,,,lost_low-cert,,,,,,,,Voir DLF 1964 145 et Moisan sIII.,,,,,,,,,,,,,,,
608,101,,fro_ENG,,,Bueve de Hanstonne AN,1190-01-01 00:00:00|1230-01-01 00:00:00,,XII-XIIIinc ou 1225-1230; dernière décennie du XIIe [Arlima],148,Bueve de Hanstonne,,,surviving,,,,,,,,"Une version anglo-normande du XIIe en décas., et deux rédactions françaises du XIIIe, dont une due à Bertrand de Bar-sur-Aube. Distinguer 3 chansons? Arlima en a 5",,,,BH1,anglaise,,,,,,,,,,https://arlima.net/no/838
605,101,,fro,,,Bueve de Hanstonne cont. 1,1200-01-01 00:00:00|1225-01-01 00:00:00,,"XIII, 1200-1225",148,Bueve de Hanstonne,,champ. (Reims?),surviving,,,,,,,,,,,,BH3,anglaise,,,,,,,,,,https://arlima.net/no/838
606,101,,fro,,,Bueve de Hanstonne cont. 2,1225-01-01 00:00:00,,"XIII, c. 1225",148,Bueve de Hanstonne,,IdF / pic.,surviving,,,,,,,,,,,,BH4,anglaise,I p. 59; sIII p. 131,,,,,,,,,https://arlima.net/no/838
607,101,,fro,,,Bueve de Hanstonne cont. 3,1220-01-01 00:00:00|1300-01-01 00:00:00,,"XIII, apr. 1220",148,Bueve de Hanstonne,,IdF / pic.,surviving,,,,,,,,,,,,BH11,anglaise,I p. 59,,,,,,,,,https://arlima.net/no/838
609,101,,,,,Bueve de Hanstonne cont. 4,,,,148,Bueve de Hanstonne,,,surviving,,,,,,,,"Cf. Arlima, ﻿Hilka, Alfons, « Eine neue Version des Bueve de Hantone », Zeitschrift für romanische Philologie, 44, 1924, p. 265-290. [Gallica] DOI: 10.1515/zrph.1924.44.3.265 Compte rendu: Mario Roques, dans Romania, 53, 1926, p. 215. Transcription d'extraits.",,,,,anglaise,,,,,,,,,,https://arlima.net/no/838
785,101,,,,,Bueve de Hanstonne perdu,1100-01-01 00:00:00|1187-01-01 00:00:00,,XII? avant 1187,148,Bueve de Hanstonne,,,lost,,,,,,,,"Perdue, mais allusions des troubadours catalans Guilhem de Berguedan et Guirant del Luc. Moisan sIII.",,,,,,,,,,,,,,,
515,101,,,,chanoine de Saint-Pierre d'Antioche,Chetifs perdus,1150-01-01 00:00:00,,"XII, c. 1150",185,Chetifs,,,lost,,,,,,,,"Modèle dont le texte de Graindor est un remaniement, et dont il a repris une importante partie cf. Moisan sIII et DLF 1964 178. Auteur serait un chanoine de Saint-Pierre d'Antioche et l'aurait écrite sur place.",,,,,Croisade,I p. 35; sIII p. 111,,,,,,,,,
719,101,,,,,Charles le Chauve / Dieudonné de Hongrie,1359-01-01 00:00:00|1375-01-01 00:00:00,,"XIV, c. 1359-1375",206,Charles le Chauve,,"fr., pic., Valois",surviving,,maybe,,,,,,"Version actuelle serait un remaniement d'un texte antérieur, pour servir de prologue à Flor et Oct.",,,,DH,Dagobert,I p. 28; sII p. 23; sIII p. 105,,,,,,,,,https://arlima.net/no/3228
514,101,,,,,Charles Martel,,,,182,Charles Martel,,,lost,,,,,,mise en prose,,"Selon P. Meyer, éd. Girart de Roussillon, p. 171, auteur de la compilation ""Charles Martel"" (1448) à suivi deux originaux, dont 'un poème perdu relatif au héros'. Voir aussi Moisan sIII.",,,,,,,,,,,,,,,
613,101,,,,,Charroi de Nimes,1140-01-01 00:00:00,,"XII, c. 1140",88,Charroi de Nimes,,IdF,surviving,,,,,,,,,,,,CN,Guillaume,,,,,,,,,,https://arlima.net/no/266
610,101,,,,,Chevalerie Bovo [Geste Francor],,,,148,Bueve de Hanstonne,,,surviving,,,,,,,,,,,,BH6-7 etr.,anglaise,I p. 60; sII p. 27; sIII p. 131,,,,,,,,,https://arlima.net/no/862
615,101,,,,,Chevalerie Ogier en alexandrins,1300-01-01 00:00:00|1500-01-01 00:00:00,,XIV-XV,126,Chevalerie Ogier,,,surviving,,,,,,,,"Suard p. 299. NB: existent aussi des ""Visions d'Oger le Dannoys au royaulme de Fairie"" de François Habert en 1542, en décasyll. à rimes plates.",,,,,,,,,,,,,,,https://arlima.net/no/11523
614,101,,fro_IT,,,Chevalerie Ogier le Danois [Geste Francor],1180-01-01 00:00:00|1200-01-01 00:00:00,,XIIfin,126,Chevalerie Ogier,,,surviving,,,,"nombreux cantari italiens sur Ogier, …",,mise en prose,,,,,,COD2,"Doon de Maience,Charlemagne",,,,,,,,,,https://arlima.net/no/338
516,101,,,,,Chevalerie Ogier perdue,1050-01-01 00:00:00|1130-01-01 00:00:00,,"XI-XII1/3, 1050 - av. 1130.",126,Chevalerie Ogier,,,lost,,,,,,,,"Une ou plusieurs versions perdues. Selon Bédier, dans le poème perdu, la guerre de Lombardie était motivée, comme historiquement, par le fait qu'Ogier s'était fait le tuteur des fils de Carloman. Metellus de Tegernsee (1150-1160) donne le résumé d'un poème ayant participé à l'établissement de la légende d'Ogier. Le pseudo-Turpin connaissait une trad. où Ogier mourait à Roncevaux. En se fondant sur la KSaga, Aebischer suppose une chanson dans la seconde partie du XIe. Moisan sIII.",,,,,,,,,,,,,,,
616,101,,,,,Chevalerie Ogier – Continuation / Istoire d'Ogier le Redouté,1310-01-01 00:00:00,,"XIV, c. 1310",126,Chevalerie Ogier,,,surviving,,,,,,,,"Suard, p. 298. Continuation dans le ms. fr. 1583; 16900 décasyllabes.",,,,,,,,,,,,,,,
617,101,,,,,Chevalerie Vivien / Covenant Vivien,1180-01-01 00:00:00|1200-01-01 00:00:00,,"XII, 1180-1200",116,Chevalerie Vivien,,NA,surviving,,,,,,,,Bossuat 'sorte de prologue' à l'Aliscans.,,,,CV,"Vivien,Guillaume",sIII p. 185,897,,,,,,,,https://arlima.net/no/914
722,101,,,,,Chevalier au Cygne et Godefroi de Bouillon,1356-01-01 00:00:00,,"XIV, 1356",189,Chevalier au Cygne,,Hainaut,surviving,,maybe,,"anglaise, allemandes, néerlandaise",,,,Remaniement en plus de 35000 alexandrins. Cf. Suard p. 285.,,,,CC,Croisade,sIII p. 106,,,,,,,,,https://arlima.net/no/267
517,101,,,,,Chevalier au Cygne perdu,1001-01-01 00:00:00|1300-01-01 00:00:00,,"?, XI – XII – XIII",189,Chevalier au Cygne,,,lost,,,,,,,,"Cf. entrée suivante. Moisan sIII. Voir art. de Huet + Gran Conquista de Ultramar + hypothèse d'Aebischer à partir de KS, qui la placerait dans le XI 2/2.",,,,,,I p. 60,,,,,,,,,
619,101,,,,,Clarisse et Florent,1275-01-01 00:00:00|1300-01-01 00:00:00,,XIII4/4,221,Clarisse et Florent,,"art., pic.",surviving,,,,,,,,cf. Huon de Bordeaux. Version en décasyllabes.,,,,CF,Huon de Bord.,I p. 86; sII p. 34; sIII p. 184,,,,,,,,,https://arlima.net/no/937
620,101,,,,,Clarisse et Florent,1275-01-01 00:00:00|1300-01-01 00:00:00,,XIII4/4,221,Clarisse et Florent,,,surviving,,,,,,,,Version en alexandrins.,,,,,,,,,,,,,,,https://arlima.net/no/937
688,101,,fro_ENG,,,Continuation du Siege d'Antioche,1200-01-01 00:00:00|1220-01-01 00:00:00,,XIIIinc,205,Siege d'Antioche,,agn.,surviving,,,,,,,,"continuation ""dans le ms. Spalding, basée surtout sur les Gesta Francorum Iherusalem expugnantium de Bartolfus, lui-même tributaire de Fouchier de Chartres"" (DEAF).",,,CroisSpaldM,,,,,,,,,,,,
700,101,,,,,Continuation Jérusalem à éclaircir: https://journals.openedition.org/crm/15573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
